,Date,SC_M1
0,2015-11-23,195.0
1,2015-11-24,195.0
2,2015-11-25,195.0
3,2015-11-26,192.0
4,2015-11-27,192.0
5,2015-11-30,195.52
6,2015-12-01,188.0
7,2015-12-02,184.0
8,2015-12-03,184.0
9,2015-12-04,184.0
10,2015-12-07,184.0
11,2015-12-08,184.0
12,2015-12-09,184.0
13,2015-12-10,184.0
14,2015-12-11,184.0
15,2015-12-14,184.0
16,2015-12-15,184.0
17,2015-12-16,184.0
18,2015-12-17,184.0
19,2015-12-18,185.0
20,2015-12-21,185.0
21,2015-12-22,187.5
22,2015-12-23,191.25
23,2015-12-24,191.25
1134,2015-12-25,193.0
1139,2015-12-26,193.0
1144,2015-12-27,193.0
24,2015-12-29,187.5
25,2015-12-30,189.75
26,2015-12-31,188.95
1155,2016-01-01,188.0
1159,2016-01-02,184.0
1165,2016-01-03,184.0
27,2016-01-04,184.0
28,2016-01-05,184.0
29,2016-01-06,184.0
30,2016-01-07,184.0
31,2016-01-08,184.5
1181,2016-01-09,184.0
1185,2016-01-10,184.0
32,2016-01-11,185.0
33,2016-01-12,186.0
34,2016-01-13,186.0
35,2016-01-14,185.5
36,2016-01-15,185.5
1201,2016-01-16,184.0
1205,2016-01-17,184.0
37,2016-01-18,185.5
38,2016-01-19,187.0
39,2016-01-20,187.0
40,2016-01-21,185.5
41,2016-01-22,185.5
1125,2016-01-23,189.5
1129,2016-01-24,189.5
42,2016-01-25,190.0
43,2016-01-26,190.0
44,2016-01-27,189.75
45,2016-01-28,186.0
46,2016-01-29,184.875
1150,2016-01-30,188.0
1225,2016-01-31,184.0
47,2016-02-01,184.0
48,2016-02-02,182.0
49,2016-02-03,180.75
50,2016-02-04,181.625
51,2016-02-05,180.5
1234,2016-02-06,185.0
1174,2016-02-07,183.25
52,2016-02-08,182.125
53,2016-02-09,178.75
54,2016-02-10,179.25
55,2016-02-11,182.125
56,2016-02-12,181.0
1244,2016-02-13,185.0
1194,2016-02-14,183.25
57,2016-02-15,182.125
58,2016-02-16,179.25
59,2016-02-17,179.25
60,2016-02-18,182.125
61,2016-02-19,181.0
1254,2016-02-20,185.0
1214,2016-02-21,183.25
62,2016-02-22,182.25
63,2016-02-23,184.0
64,2016-02-24,185.0
65,2016-02-25,185.0
66,2016-02-26,185.0
1145,2016-02-27,189.0
1262,2016-02-28,185.0
67,2016-02-29,184.2828125
68,2016-03-01,183.75
69,2016-03-02,182.875
70,2016-03-03,183.375
71,2016-03-04,182.4375
1229,2016-03-05,182.0
1235,2016-03-06,184.0
72,2016-03-07,187.875
73,2016-03-08,184.1875
74,2016-03-09,182.5
75,2016-03-10,183.375
76,2016-03-11,181.6875
1239,2016-03-12,180.0
1245,2016-03-13,187.0
77,2016-03-14,190.375
78,2016-03-15,181.6875
79,2016-03-16,183.375
80,2016-03-17,184.625
81,2016-03-18,182.8125
1249,2016-03-19,180.0
1255,2016-03-20,187.0
82,2016-03-21,193.625
83,2016-03-22,182.625
84,2016-03-23,184.125
85,2016-03-24,182.625
1135,2016-03-25,179.25
1140,2016-03-26,181.75
1146,2016-03-27,188.5
1263,2016-03-28,184.0
86,2016-03-29,183.25
87,2016-03-30,194.5
88,2016-03-31,200.095
89,2016-04-01,187.0
1160,2016-04-02,181.5
1166,2016-04-03,183.875
90,2016-04-04,187.53125
91,2016-04-05,197.75
92,2016-04-06,214.0
93,2016-04-07,194.5625
94,2016-04-08,192.5
1182,2016-04-09,185.875
1186,2016-04-10,185.125
95,2016-04-11,192.59375
96,2016-04-12,198.0
97,2016-04-13,226.155
98,2016-04-14,201.4375
99,2016-04-15,190.96875
1202,2016-04-16,188.5
1206,2016-04-17,191.0
100,2016-04-18,198.59375
101,2016-04-19,200.25
102,2016-04-20,230.5
103,2016-04-21,208.9375
104,2016-04-22,199.625
1126,2016-04-23,197.375
1130,2016-04-24,199.375
105,2016-04-25,190.625
106,2016-04-26,190.5
107,2016-04-27,209.75
108,2016-04-28,230.25
109,2016-04-29,207.011875
1151,2016-04-30,221.5
1156,2016-05-01,209.125
1161,2016-05-02,181.75
110,2016-05-03,200.6875
111,2016-05-04,220.421875
112,2016-05-05,232.25
113,2016-05-06,249.0
1175,2016-05-07,218.3125
1178,2016-05-08,219.78125
114,2016-05-09,202.8125
115,2016-05-10,206.0625
116,2016-05-11,226.078125
117,2016-05-12,235.0
118,2016-05-13,256.0
1195,2016-05-14,229.3125
1198,2016-05-15,227.65625
119,2016-05-16,204.4375
120,2016-05-17,206.8125
